date ExePromotion nbMailP TempsExePTotal ExeRetraite nbMailR TempsExecRTotal TempsExecTotal
2016-04-30-15-44-00 0.065250158309937 0 0.065253019332886 0.0088469982147217 0 0.00885009765625 0.074103116989136
2016-04-30-13-44-34 0.060371875762939 1 1.2950549125671 0.0052540302276611 1 1.2077751159668 2.5028300285339
2016-05-05-11-26-30 0.065996885299683 1 1.3213219642639 0.0090110301971436 1 1.2143371105194 2.5356590747833
2016-05-05-11-27-12 0.063752889633179 2 2.5352189540863 0.0055379867553711 1 1.2002720832825 3.7354910373688
2016-05-16-09-45-59 0.0083460807800293 0 0.0083498954772949 0.0072569847106934 4 4.7310559749603 4.7394058704376
2016-05-16-09-56-57 0.0062911510467529 1 1.2563991546631 0.0068199634552002 0 0.0068230628967285 1.2632222175598
2016-05-16-12-03-27 0.0044529438018799 0 0.0044550895690918 0.0074341297149658 0 0.007436990737915 0.011892080307007
2016-05-16-12-04-04 0.004518985748291 0 0.0045218467712402 0.0067849159240723 0 0.0067870616912842 0.011308908462524
2016-05-16-12-09-41 0.0056910514831543 0 0.0056939125061035 0.007159948348999 0 0.0071640014648438 0.012857913970947
2016-05-16-12-11-21 0.00559401512146 0 0.0055968761444092 0.0070312023162842 0 0.0070340633392334 0.012630939483643
2016-05-16-12-13-47 0.0050590038299561 0 0.0050618648529053 0.007267951965332 0 0.0072710514068604 0.012332916259766
2016-05-16-12-16-20 0.0054070949554443 0 0.0054101943969727 0.0065929889678955 0 0.0065948963165283 0.012005090713501
2016-05-16-12-17-32 0.0052969455718994 0 0.0052990913391113 0.0065200328826904 0 0.0065219402313232 0.011821031570435
2016-05-16-12-18-31 0.0050618648529053 0 0.0050640106201172 0.0066280364990234 0 0.0066308975219727 0.01169490814209
2016-05-16-12-21-08 0.0049018859863281 0 0.0049049854278564 0.0066719055175781 0 0.0066750049591064 0.011579990386963
2016-05-16-10-26-18 0.0046379566192627 4 4.980144182840933 0.0063929557800293 0 0.0063948631286621 3.7415030002594
2016-05-16-12-27-40 0.0022010803222656 0 0.0022039413452148 0.0067398548126221 0 0.0067429542541504 0.0089468955993652
2016-05-16-12-31-00 0.0031058788299561 0 0.0031089782714844 0.0069100856781006 0 0.0069129467010498 0.010021924972534
2016-05-16-10-47-10 0.017189979553223 2 2.5131120681763 0.007606029510498 0 0.0076091289520264 2.5207211971283
2016-05-16-12-55-50 0.018393993377686 0 0.018397092819214 0.0069270133972168 0 0.0069301128387451 0.025327205657959
2016-05-16-12-56-01 0.010338068008423 0 0.010341167449951 0.0063421726226807 0 0.0063450336456299 0.016686201095581
2016-05-16-12-56-39 0.010240077972412 0 0.010241985321045 0.0065600872039795 0 0.0065619945526123 0.016803979873657
2016-05-16-12-57-13 0.011425971984863 0 0.011427879333496 0.007037878036499 0 0.0070409774780273 0.018468856811523
2016-05-16-12-57-22 0.014271020889282 0 0.014273166656494 0.0071649551391602 0 0.0071680545806885 0.021441221237183
2016-05-16-11-04-01 0.012219905853271 3 3.7484209537506 0.0066730976104736 0 0.0066759586334229 3.755096912384
2016-05-16-13-04-16 0.010149002075195 0 0.010152101516724 0.0071139335632324 0 0.0071170330047607 0.017269134521484
2016-05-16-13-04-31 0.0094099044799805 0 0.0094130039215088 0.006702184677124 0 0.0067050457000732 0.016118049621582
2016-05-16-13-04-36 0.0088889598846436 0 0.0088920593261719 0.0032238960266113 0 0.0032269954681396 0.012119054794312
2016-05-16-13-04-37 0.0087530612945557 0 0.008756160736084 0.003364086151123 0 0.0033669471740723 0.012123107910156
2016-05-16-13-04-41 0.0084390640258789 0 0.0084421634674072 0.0030429363250732 0 0.0030460357666016 0.011488199234009
2016-05-16-13-09-59 0.0087440013885498 0 0.0087459087371826 0.0070569515228271 0 0.0070600509643555 0.015805959701538
2016-05-16-11-11-06 0.0091550350189209 1 1.2759308815002 0.0068180561065674 0 0.0068209171295166 1.2827517986298
2016-05-16-11-13-06 0.015284061431885 6 7.5173621177673 0.007871150970459 5 6.0533230304718 13.570685148239
2016-05-16-13-13-56 0.0093019008636475 0 0.0093050003051758 0.0073511600494385 0 0.0073540210723877 0.016659021377563
2016-05-16-13-22-58 0.016382932662964 8 0.43923497200012 0.0081110000610352 13 0.70526504516602 1.1445000171661
2016-05-16-13-27-21 0.11611390113831 4 0.31941080093384 0.013765096664429 62 3.9777970314026 4.2972078323364
2016-05-16-13-29-39 0.058481931686401 3 0.2057991027832 0.010438203811646 30 1.6260271072388 1.831826210022
2016-05-16-14-24-43 0.50372791290283 132 7.9769639968872 0.039000034332275 395 22.449487924576 30.426451921463
2016-05-16-13-25-37 0.079492092132568 2 2.5556819438934 0.0087110996246338 0 0.0087170600891113 2.5643990039825
2016-05-16-15-25-42 0.061190843582153 0 0.061193943023682 0.009357213973999 0 0.0093600749969482 0.07055401802063
2016-05-19-18-16-30 0.076978921890259 1 1.3758997917175 0.0087621212005615 1 1.2027740478516 2.5786738395691
